label,chr,start,end,color
PHACTR1,chr6,12716804,12716805,c
TBC1D7,chr6,13328582,13328583,c
LINC01556,chr6,28943876,28943877,e
VARS2,chr6,30914204,30914205,e
HCG22,chr6,31053449,31053450,e
HLA-B,chr6,31356441,31356442,c
LST1,chr6,31586123,31586124,e
BAG6,chr6,31652704,31652705,d
CSNK2B,chr6,31665390,31665391,c
GPANK1,chr6,31666282,31666283,e
DDAH2,chr6,31730579,31730580,e
MSH5,chr6,31739947,31739948,e
EHMT2,chr6,31897683,31897684,c
CFB,chr6,31945672,31945673,c
DXO,chr6,31972291,31972292,d
CYP21A2,chr6,32038264,32038265,c
PRRT1,chr6,32153959,32153960,e
HLA-DOB,chr6,32817047,32817048,e
TAP2,chr6,32838779,32838780,e
IP6K3,chr6,33746904,33746905,e
SNRPC,chr6,34757405,34757406,c
UHRF1BP1,chr6,34792014,34792015,e
TULP1,chr6,35512937,35512938,c
KCNK5,chr6,39229449,39229450,d
PTK7,chr6,43076267,43076268,d
ADGRF2,chr6,47656435,47656436,e
ADGRF4,chr6,47685863,47685864,e
OPN5,chr6,47781981,47781982,d
BAG2,chr6,57172422,57172423,e
RAB23,chr6,57222313,57222314,d
RRAGD,chr6,89412269,89412270,c
UFL1,chr6,96521594,96521595,e
FHL5,chr6,96562547,96562548,e
CENPW,chr6,126340173,126340174,e
EPB41L2,chr6,131063321,131063322,d
SLC2A12,chr6,134052635,134052636,d
MTHFD1L,chr6,150865548,150865549,e
SLC22A1,chr6,160121788,160121789,c
FAM220A,chr7,6348980,6348981,e
RAC1,chr7,6374522,6374523,c
DAGLB,chr7,6448011,6448012,c
C1GALT1,chr7,7156933,7156934,e
TMEM106B,chr7,12211240,12211241,e
GSDME,chr7,24758112,24758113,d
TBX20,chr7,35254146,35254147,e
NPC1L1,chr7,44541314,44541315,a
DDX56,chr7,44575050,44575051,e
TMED4,chr7,44582286,44582287,e
OGDH,chr7,44606571,44606572,e
SEMA3C,chr7,80922358,80922359,e
ZKSCAN1,chr7,100015571,100015572,e
ZSCAN21,chr7,100049773,100049774,e
ZNF3,chr7,100082547,100082548,e
AP4M1,chr7,100101940,100101941,d
TAF6,chr7,100119566,100119567,e
STAG3,chr7,100177562,100177563,e
PVRIG,chr7,100218240,100218241,d
CCDC71L,chr7,106660995,106660996,e
PRKAR2B,chr7,107044648,107044649,d
COG5,chr7,107563956,107563957,d
BCAP29,chr7,107580057,107580058,e
MET,chr7,116672389,116672390,a
ZC3HC1,chr7,130051450,130051451,e
FMC1,chr7,139339456,139339457,e
LUC7L2,chr7,139340358,139340359,e
KLRG2,chr7,139483711,139483712,e
ABCF2,chr7,151227229,151227230,e
SMARCD3,chr7,151277895,151277896,e
LPL,chr8,19901716,19901717,c
BMP1,chr8,22164735,22164736,c
DOCK5,chr8,25184722,25184723,d
SNX16,chr8,81842865,81842866,e
INTS8,chr8,94813310,94813311,e
NDUFAF6,chr8,94895766,94895767,e
NCALD,chr8,102124906,102124907,e
DOCK8-AS1,chr9,215740,215741,e
SAXO1,chr9,19049353,19049354,e
HAUS6,chr9,19103118,19103119,e
C9orf72,chr9,27573865,27573866,d
ABCA1,chr9,104928236,104928237,a
TRAF1,chr9,120929172,120929173,e
DAB2IP,chr9,121567056,121567057,c
